OID_,Dam_Num,Area_m2,Shape_Area
1,12B,1124.630080550000002,1124.630080554105916
2,23B,299.571561223000003,299.571561222514958
3,7B,14.573314441200001,14.573314441194713
4,27B,11.198621934200000,11.198621934235506
5,28B,44.980995378599999,44.980995378611738
6,10179,714.587782033000053,714.587782033145686
7,10180,4809.897006580000379,4809.897006584846167
8,10181,6571.199875739999698,6571.199875738437186
9,10182,6202.113499639999645,6202.113499642166062
10,108B,14865.207179600000018,14865.207179594730405
11,10183,1843.173331790000020,1843.173331790400880
12,10184,4357.039346460000161,4357.039346457922875
13,10185,936.251683321999963,936.251683322483473
14,10187,85.405984361099996,85.405984361064341
15,10188,69.324813519599999,69.324813519622523
16,10189,120.667760079000004,120.667760079344887
17,10190,38.248051824699999,38.248051824654247
18,10191,103.667677058999999,103.667677059047577
19,10192,184.719263114000000,184.719263113969049
20,114B,201.197231251999995,201.197231252008436
21,10193,1194.244670139999926,1194.244670141630877
22,10194,124.638457446000004,124.638457446253994
23,10186,782.927712552000003,782.927712551922355
24,10195,2563.446696720000091,2563.446696717444411
25,10196,4692.473941700000069,4692.473941698281124
26,113B,303.460665875000018,303.460665875031282
27,10197,1700.302391319999970,1700.302391320047491
28,10198,375.282276916999990,375.282276917412105
29,10199,17.191139479600000,17.191139479627218
30,31,3490.030468909999854,3490.030468905142243
31,42,141.508608441999996,141.508608442317183
32,45B,502.184422530000006,502.184422529620804
33,49B,2995.972592879999866,2995.972592875889859
34,52B,960.645880059999968,960.645880059662204
35,34B,538.112872659000004,538.112872659116533
36,35B,1183.210555769999928,1183.210555768765062
37,36B,1963.584837150000112,1963.584837153449371
38,46B,330.321539164999990,330.321539165337413
39,5027,1084.092180939999935,1084.092180943522408
40,5028,539.793336687999954,539.793336687655142
41,5029,186.163744371000007,186.163744370681798
42,5030,357.613235800999973,357.613235800523171
43,5031,209.345320711999989,209.345320712365691
44,5032,1007.675898849999953,1007.675898848511451
45,5033,813.068612035999990,813.068612035654041
46,5034,2307.303541660000064,2307.303541664688964
47,5035,775.229248159000008,775.229248158917699
48,5036,1328.365298100000018,1328.365298102371071
49,5037,233.082588087000005,233.082588086825297
50,5038,585.984877007000023,585.984877007396790
51,5039,6399.162032790000012,6399.162032790114608
52,5040,3813.141372770000089,3813.141372771276110
53,5041,947.034789759999967,947.034789760088074
54,5042,1022.860892949999993,1022.860892945741853
55,5043,1938.427965549999954,1938.427965548698921
56,5044,293.446059547999994,293.446059548445476
57,5045,532.326835307000010,532.326835307407350
58,5046,5373.447093910000149,5373.447093907725503
59,5047,136.394653400999999,136.394653401409585
60,5048,146.954117497999988,146.954117498270591
61,5049,1190.354109829999970,1190.354109831050664
62,5050,466.759366160000013,466.759366160068453
63,5051,544.158191249999959,544.158191250298273
64,5053,1982.042556430000104,1982.042556431505545
65,5054,6104.584579700000177,6104.584579702674091
66,5055,627.678481412999986,627.678481413357531
67,5056,673.167067449999990,673.167067449903698
68,5057,214.062490819999994,214.062490820081706
69,5058,66.150194520800000,66.150194520787977
70,5060,1543.401235179999958,1543.401235176143473
71,5061,1893.985641649999934,1893.985641650385787
72,5062,1448.839126549999946,1448.839126551543586
73,5059,3934.380560510000123,3934.380560506300299
74,5052,2038.746215769999935,2038.746215774607663
75,5063,779.286956940999971,779.286956941103313
76,5064,6264.654392030000054,6264.654392031859061
77,5065,2017.988284450000037,2017.988284445678119
78,5066,5134.408936769999855,5134.408936773685127
79,5067,1659.458637729999964,1659.458637726781035
80,5068,6292.615661490000093,6292.615661487401667
81,5069,6312.181387460000224,6312.181387456792436
82,5070,817.585338904999958,817.585338904896275
83,5071,687.483917266000049,687.483917266312687
84,5072,3369.368563810000069,3369.368563805760004
85,5073,1014.849224619999973,1014.849224621204598
86,5074,425.311823312999991,425.311823312594527
87,5075,144.395851727999997,144.395851728187267
88,5076,952.416208213999994,952.416208214266703
89,5077,126.216393342000003,126.216393341676053
90,5078,787.701068831000043,787.701068831291650
91,5079,2552.329539199999999,2552.329539200096860
92,5080,644.771815015000016,644.771815014638946
93,5081,125.602353559999997,125.602353559703829
94,5082,650.194117288000029,650.194117287747417
95,5083,153.088016481000011,153.088016480765162
96,5084,84.937840187199996,84.937840187201033
97,5085,132.791119761000004,132.791119761494627
98,5086,225.680392829999988,225.680392830465678
99,5088,469.431643710000003,469.431643710270635
100,5094,90.868584362099995,90.868584362055898
101,5095,1578.219552199999953,1578.219552202803698
102,5096,798.838918493000051,798.838918493394544
103,5097,1646.145875339999975,1646.145875339748500
104,5087,281.655675674999998,281.655675674769327
105,5089,168.198844205999990,168.198844205726715
106,5090,342.800749891000009,342.800749890970053
107,5091,1159.841295160000072,1159.841295157989407
108,5092,94.875641355699997,94.875641355678880
109,5093,724.256640819000040,724.256640819051086
110,5098,1494.668453570000111,1494.668453574674686
111,5099,1993.865235940000048,1993.865235940136017
112,5100,84.962849505999998,84.962849505954253
113,5101,105.675223442999993,105.675223442985313
114,5102,108.196344303000004,108.196344303449962
115,5104,759.338719469000011,759.338719468507747
116,5105,516.091870029999995,516.091870030254427
117,5106,5225.966123479999624,5225.966123478804548
118,5107,233.158716964000007,233.158716963708628
119,5108,298.203666515000009,298.203666515135239
120,5109,700.291960677000020,700.291960676846202
121,5110,419.902866764000009,419.902866763741201
122,5113,2005.818791800000099,2005.818791795958532
123,5111,91.732380605000003,91.732380605022911
124,5112,420.226895420999995,420.226895420892390
125,5114,483.350360518000002,483.350360517956403
126,5115,2774.980351019999944,2774.980351024615175
