OID_,Join_Count,TARGET_FID,Shape_Leng,Shape_Le_1,rid,RCA_area,h2oAreaKm2,RCA_poly_h2oAreaKm2,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng_1,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_12,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,Shape_Length
18,,,605.364707013000043,605.364707013000043,18,3.288511381520000,3.288511381520000,3.288511381519590,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.364707012090776
19,,,3466.733102510000208,3466.733102510000208,19,5.842321852660000,374.761530441999980,374.761530442186995,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3466.733102505426359
20,,,791.196734964000029,791.196734964000029,20,3.214535471740000,3.214535471740000,3.214535471738240,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.196734970921511
21,,,1792.366560239999899,1792.366560239999899,21,4.394942110050000,4.394942110050000,4.394942110053210,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.366560244428911
22,,,3010.564948709999953,3010.564948709999953,22,3.544467311080000,150.582312409999986,150.582312410083006,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010.564948721946166
23,,,2412.179131010000219,2412.179131010000219,23,4.395290341610000,4.395290341610000,4.395290341608350,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412.179131018297539
24,,,3567.542210149999846,3567.542210149999846,24,4.675870199970000,365.505749196000011,365.505749195708006,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3567.542210149909351
25,,,792.635663860000022,792.635663860000022,25,3.413459393820000,3.413459393820000,3.413459393822110,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.635663853802839
26,,,1500.558321579999983,1500.558321579999983,26,4.444679696100000,4.444679696100000,4.444679696102220,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.558321569407326
27,,,1707.147861830000011,1707.147861830000011,27,2.321605506890000,14.738467337499999,14.738467337477100,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707.147861824182201
28,,,4462.403815439999562,4462.403815439999562,28,6.441730866590000,17.704487911200001,17.704487911165401,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4462.403815430735449
29,,,1464.553994619999912,1464.553994619999912,29,1.465117031840000,1.465117031840000,1.465117031844170,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.553994619191599
30,,,30.421810945099999,30.421810945099999,30,0.000787719499972,19.170392662499999,19.170392662509599,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.421810944959862
31,,,1120.907923499999924,1120.907923499999924,31,0.512739835931000,13.440725359100000,13.440725359054300,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.907923503674965
32,,,2876.891371950000121,2876.891371950000121,32,8.485037186430000,8.485037186430000,8.485037186433120,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2876.891371948456253
33,,,1214.784651380000014,1214.784651380000014,33,2.777719858140000,2.777719858140000,2.777719858139060,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.784651385807820
34,,,987.022567114000026,987.022567114000026,34,0.713375743294000,343.533004418000019,343.533004418368023,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.022567111700369
35,,,1515.343262489999915,1515.343262489999915,35,0.762415497397000,17.296874577400001,17.296874577367099,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.343262486885578
36,,,13044.914571699999215,13044.914571699999215,36,21.089623621000001,280.230365995000000,280.230365994657006,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13044.914571704795890
37,,,1562.582313319999912,1562.582313319999912,37,1.515026116740000,62.589262680399997,62.589262680417200,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.582313319809373
38,,,2071.936391000000185,2071.936391000000185,38,1.556046518800000,34.167164540400002,34.167164540363800,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071.936391004207508
39,,,2778.776019039999937,2778.776019039999937,39,2.914334826340000,2.914334826340000,2.914334826343890,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778.776019049656497
40,,,858.671517985000037,858.671517985000037,40,0.746454830639000,37.827954197300002,37.827954197346301,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.671517984460479
41,,,3475.764735010000095,3475.764735010000095,41,3.648116144990000,23.246282366300001,23.246282366326302,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475.764735004996965
42,,,3620.311270669999885,3620.311270669999885,42,9.167679935140001,9.167679935140001,9.167679935144729,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3620.311270658968624
43,,,2310.015232660000038,2310.015232660000038,43,3.760305587980000,3.760305587980000,3.760305587978780,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310.015232659086450
