OID_,uRCA_int,StreamDensity_COUNT,StreamDensity_MIN,StreamDensity_MAX,StreamDensity_RANGE,StreamDensity_MEAN,StreamDensity_STD,StreamDensity_SUM,uRCA
1,1,4.000000000000000,529.443081505829582,579.884701959158747,50.441620453329165,567.274296845826484,21.841862360317922,2269.097187383305936,1
2,2,25.000000000000000,529.443081505829582,579.884701959158747,50.441620453329165,573.831707504759493,16.391586470193879,14345.792687618986747,2
3,4,8.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010789593219,4639.077615673269065,4
4,5,1.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158747,0.000000000000000,579.884701959158747,5
5,6,3.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158747,0.000006229374549,1739.654105877476240,6
6,7,7.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000008156165830,4059.192913714110546,7
7,8,8.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010789593219,4639.077615673269065,8
8,9,20.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158747,0.000009650505555,11597.694039183175846,9
9,10,3.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158747,0.000006229374549,1739.654105877476240,10
10,11,9.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010172526042,5218.962317632427585,11
11,12,25.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158974,0.000000000000000,14497.117548978972991,12
12,13,36.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158974,0.000000000000000,20875.849270529724890,13
13,15,5.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158747,0.000006823937920,2899.423509795793507,15
14,16,8.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010789593219,4639.077615673269065,16
15,17,6.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010789593219,3479.308211754952026,17
16,18,8.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010789593219,4639.077615673269065,18
17,19,15.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000011143443960,7941.646222587442935,19
18,20,8.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010789593219,4639.077615673269065,20
19,21,11.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000009201396014,6378.731721550744624,21
20,22,11.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000009201396014,6378.731721550744624,22
21,23,11.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000009201396014,6378.731721550744624,23
22,24,11.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000011269362577,5823.873896564125062,24
23,25,10.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000009650505555,5294.430815058295593,25
24,26,11.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000009201396014,6378.731721550744624,26
25,27,5.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158747,0.000006823937920,2899.423509795793507,27
26,28,18.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000007193062146,9529.975467104932250,28
27,29,4.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000000000000000,2117.772326023318328,29
28,31,1.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000000000000000,529.443081505829582,31
29,32,23.000000000000000,529.443081505829582,579.884701959158747,50.441620453329165,536.022423304090012,16.987787475777740,12328.515735994069473,32
30,33,6.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000008809665973,3176.658489034977265,33
31,34,2.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000000000000000,1058.886163011659164,34
32,35,3.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000000000000000,1588.329244517488860,35
33,36,55.000000000000000,529.443081505829582,579.884701959158747,50.441620453329165,532.194442621465669,11.454829773338231,29270.694344180614280,36
34,37,4.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000000000000000,2117.772326023318328,37
35,38,4.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000000000000000,2117.772326023318328,38
36,39,9.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000010172526042,4764.987733552466125,39
37,40,2.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000000000000000,1058.886163011659164,40
38,41,11.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000011269362577,5823.873896564125062,41
39,42,25.000000000000000,488.259001760506806,529.443081505829582,41.184079745322776,527.795718316016519,8.070398472173848,13194.892957900414331,42
40,43,9.000000000000000,529.443081505829582,529.443081505829582,0.000000000000000,529.443081505829582,0.000010172526042,4764.987733552466125,43
41,44,6.000000000000000,579.884701959158747,579.884701959158747,0.000000000000000,579.884701959158633,0.000010789593219,3479.308211754952026,44
42,45,25.000000000000000,481.167646851021175,579.884701959158747,98.717055108137572,556.192608733205930,42.160388887986109,13904.815218330148127,45
