OID_,Join_Count,TARGET_FID,gridcode,rca_id,uRCA,uRCA_int,Shape_Leng,FID_VB600_smoothed,Id,InPoly_FID,FID_RCA,gridcode_1,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng_1,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_1,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,Shape_Length,Shape_Area
22,,,1316,1316.000000000000000,1316,1316,11391.279627100000653,,,,,,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11391.279627111116497,890837.749574101413600
23,,,1379,1379.000000000000000,1379,1379,2603.798372679999829,,,,,,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603.798372679511431,130327.678637996577891
24,,,1380,1380.000000000000000,1380,1380,8256.008708010000191,,,,,,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8256.008708010078408,960388.188720611855388
25,,,1433,1433.000000000000000,1433,1433,3541.905185420000180,,,,,,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3541.905185418823748,337383.951023309433367
26,,,1434,1434.000000000000000,1434,1434,6313.590097539999988,,,,,,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6313.590097538174632,627042.752655244548805
27,,,1454,1454.000000000000000,1454,1454,8312.541093829999227,,,,,,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8312.541093833940977,319290.796475328912493
28,,,1475,1475.000000000000000,1475,1475,13647.728052399999797,,,,,,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13647.728052421029133,259199.313528281607432
29,,,1476,1476.000000000000000,1476,1476,3622.082124340000064,,,,,,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3622.082124341561666,188324.973877347860252
30,,,1511,1511.000000000000000,1511,1511,360.163110792999987,,,,,,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.163110793212468,3489.381837735725185
31,,,1512,1512.000000000000000,1512,1512,15584.770472199999858,,,,,,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15584.770472203215832,559683.704700578935444
32,,,1635,1635.000000000000000,1635,1635,3725.280449049999788,,,,,,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3725.280449054705514,142545.178473726118682
33,,,1636,1636.000000000000000,1636,1636,7562.464168540000173,,,,,,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7562.464168542303923,169468.950417313346406
34,,,1767,1767.000000000000000,1767,1767,9984.963747960000546,,,,,,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9984.963747964084178,276663.933687658573035
35,,,1773,1773.000000000000000,1773,1773,963.687300221999976,,,,,,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.687300222182103,23868.608185644290643
36,,,1774,1774.000000000000000,1774,1774,3946.946446829999786,,,,,,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3946.946446833900154,86470.924652657646220
37,,,1803,1803.000000000000000,1803,1803,2091.573993900000005,,,,,,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091.573993902024995,41507.643217228905996
38,,,1825,1825.000000000000000,1825,1825,1320.336208409999927,,,,,,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.336208414951670,29830.032776867908979
39,1,1037,1435,1435.000000000000000,1435,1435,15521.684905599999183,,,,,,1,39,0,883,Side,active, ,M,10290,RA,Active,M,658,169.466509755000004,1602.481281789999912, ,63.000000000000000,34.000000000000000,10290,RA,{6A207748-1933-4E90-9819-E42D9D58DA83},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,15043.989999999999782,60.880000000000003,AK,190803031407,Lower Eisenmenger Fork,S,NM,190803031509,0.000000000000000,0.000000000000000,31966.337866999998369,1,31966.337866999998369, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,744.352355600999999,15521.684905634534516,336792.966962628473993
40,,,1436,1436.000000000000000,1436,1436,1628.245008650000045,,,,,,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628.245008647345912,124479.766264668040094
41,,,1453,1453.000000000000000,1453,1453,2688.282667290000063,,,,,,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688.282667294260136,280116.806155378115363
42,,,1523,1523.000000000000000,1523,1523,2639.853282500000205,,,,,,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639.853282503830997,111469.799040934463846
43,,,1524,1524.000000000000000,1524,1524,2687.603495779999776,,,,,,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687.603495777533681,224654.770406870025909
44,,,1529,1529.000000000000000,1529,1529,12730.261809899999207,,,,,,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12730.261809865487521,769825.322058693622239
45,,,1530,1530.000000000000000,1530,1530,1783.577376790000017,,,,,,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783.577376794880138,123283.305560005639563
46,,,1541,1541.000000000000000,1541,1541,5257.682492949999869,,,,,,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5257.682492945124977,647999.511588980793022
47,,,1542,1542.000000000000000,1542,1542,7380.025722649999807,,,,,,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7380.025722649613272,194266.006634762976319
48,,,1543,1543.000000000000000,1543,1543,1488.038004960000080,,,,,,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488.038004963833373,115193.293090465929708
49,,,1544,1544.000000000000000,1544,1544,7706.549093859999630,,,,,,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7706.549093858643573,284915.806983967602719
50,,,1557,1557.000000000000000,1557,1557,11658.310477000000901,,,,,,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11658.310477013941636,532167.418534844415262
51,,,1558,1558.000000000000000,1558,1558,3231.132501980000143,,,,,,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3231.132501982314352,144137.706012796057621
52,1,1035,1560,1560.000000000000000,1560,1560,5922.876230339999893,,,,,,1,52,0,881,Side,active, ,M,10288,RA,Active,M,656,131.460405213999991,708.223348976000011, ,50.000000000000000,20.000000000000000,10288,RA,{6A207748-1933-4E90-9819-E42D9D58DA83},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,15043.989999999999782,60.880000000000003,AK,190803031407,Lower Eisenmenger Fork,S,NM,190803031509,0.000000000000000,0.000000000000000,31966.337866999998369,1,31966.337866999998369, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,584.119162999999958,5922.876230344713804,508991.612311701697763
53,,,1593,1593.000000000000000,1593,1593,2483.018091550000008,,,,,,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.018091550014105,231399.233736469584983
54,,,1594,1594.000000000000000,1594,1594,1822.712700089999998,,,,,,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.712700086173754,117533.858051026574685
