OID_,Join_Count,TARGET_FID,gridcode,rca_id,uRCA,uRCA_int,Shape_Leng,FID_VB600_smoothed,Id,InPoly_FID,FID_RCA,gridcode_1,Join_Count_1,TARGET_FID_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Leng_1,Surveyed,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_1,Z_Mean,Avg_Slope,Shape_Le_2,Shape_Area_1,Shape_Length,Shape_Area
11,0,4,1201,1201.000000000000000,1201,1201,4208.459547810000004,,,,,,1,11,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,4208.459547813472454,326847.043322915793397
12,0,4,1202,1202.000000000000000,1202,1202,13100.370380700000169,,,,,,1,12,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,13100.370380663107426,234446.070280215819366
13,0,4,1203,1203.000000000000000,1203,1203,2858.714138289999937,,,,,,1,13,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,2858.714138291903964,187179.022436770959757
14,0,4,1204,1204.000000000000000,1204,1204,5889.895168230000309,,,,,,1,14,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,5889.895168226292299,122303.065237827657256
15,0,4,1207,1207.000000000000000,1207,1207,2934.050812789999782,,,,,,1,15,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,2934.050812790038435,201322.183787609857973
16,0,4,1208,1208.000000000000000,1208,1208,6086.265239819999806,,,,,,1,16,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,6086.265239816252688,138438.879988306463929
17,0,130,1221,1221.000000000000000,1221,1221,105.666506865000002,,,,,,1,17,{358A659A-4B96-4598-8647-3BCC067167BF},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10553.440000000000509,42.710000000000001,AK,190803031401,190803031401,S,NM,190803031406,0.000000000000000,0.000000000000000,27925.474641900000279,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1294.652994849999914,43.495847431000001,27925.474641900000279,42708271.220299996435642,105.666506865017084,449.693019482270472
18,0,130,1222,1222.000000000000000,1222,1222,26204.400685900000099,,,,,,1,18,{358A659A-4B96-4598-8647-3BCC067167BF},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,10553.440000000000509,42.710000000000001,AK,190803031401,190803031401,S,NM,190803031406,0.000000000000000,0.000000000000000,27925.474641900000279,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1294.652994849999914,43.495847431000001,27925.474641900000279,42708271.220299996435642,26204.400685921409604,751623.114571216865443
19,0,204,1405,1405.000000000000000,1405,1405,9854.314950129999488,,,,,,1,19,{B3514153-BAB3-4DA3-8BE8-FC6ADA638A9A},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,30039.610000000000582,121.569999999999993,AK,190803031405,190803031405,S,NM,190803031407,0.000000000000000,0.000000000000000,54696.378359599999385,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1118.786704200000031,33.917406915199997,54696.378359599999385,121565985.215000003576279,9854.314950134865285,180390.131152900139568
20,0,4,1254,1254.000000000000000,1254,1254,14379.252559799999290,,,,,,1,20,{23B601D5-33CC-460C-9B46-1494931AB018},{2C92B35C-3413-46E7-A19D-10901FFEDE59}, , , ,,0,29903.040000000000873,121.010000000000005,AK,190803031406,Upper Eisenmenger Fork,S,NM,190803031407,0.000000000000000,0.000000000000000,83734.891660699999193,1, ,0.000000000000000, , , , ,, , , , ,0.000000000000000, , ,0, ,, , ,,, , , ,0.000000000000000,0.000000000000000,0.000000000000000,1112.775307489999932,29.971357705799999,83734.891660699999193,121013273.751000002026558,14379.252559751299486,353474.923783487931360
