OID_,uRCA,uRCA_Area_km2,Fire_Event_ID,Fire_Event_Area_in_uRCA_km2,Fire_Event_Area_Percent_of_uRCA,Fire_Event_Ignition_Date,BS1_AreaKm2,BS2_AreaKm2,BS3_AreaKm2,BS4_AreaKm2,BS_sum_AreaKm2,DNBR_MEAN,RDNBR_MEAN
1,32,0.235542064583999,0.000000000000000,0.049756031898185,21.124052459360737,20110526.000000000000000,0.027000000000000,0.016200000000000,0.006300000000000,0.000000000000000,0.049500000000000,60.604166666666657,123.916666666666686
2,42,0.370017946216414,0.000000000000000,0.091266343988361,24.665382896100770,20110526.000000000000000,0.072000000000000,0.034200000000000,0.007200000000000,0.000000000000000,0.113400000000000,79.280487804878064,146.658536585365823
3,52,0.048539608433817,0.000000000000000,0.012498194278427,25.748447007842451,20110526.000000000000000,0.015300000000000,0.002700000000000,0.000900000000000,0.000000000000000,0.018900000000000,70.235294117647072,140.000000000000000
4,68,0.431280390750991,0.000000000000000,0.059482685350905,13.792116011506595,20110526.000000000000000,0.043200000000000,0.019800000000000,0.000900000000000,0.000000000000000,0.063900000000000,40.442857142857129,109.700000000000003
5,69,0.283789449656230,0.000000000000000,0.162903800199740,57.403064650533068,20110526.000000000000000,0.055800000000000,0.068400000000000,0.030600000000000,0.002700000000000,0.157500000000000,164.005988023952057,263.976047904191603
6,77,0.078128587138281,0.000000000000000,0.000332731739609,0.425877081728389,20150617.000000000000000,0.000900000000000,0.002700000000000,0.000000000000000,0.000000000000000,0.003600000000000,,
7,81,0.225366940454267,0.000000000000000,0.090168122530873,40.009478733258341,20150617.000000000000000,0.018900000000000,0.027900000000000,0.035100000000000,0.010800000000000,0.092700000000000,281.449999999999989,313.930000000000007
8,82,0.182601418994785,0.000000000000000,0.000064784876529,0.035478837566659,20150617.000000000000000,0.000000000000000,0.001800000000000,0.000000000000000,0.000000000000000,0.001800000000000,,
9,85,0.209142797674114,0.000000000000000,0.013094478705464,6.261023798867855,20150617.000000000000000,0.005400000000000,0.009000000000000,0.003600000000000,0.000000000000000,0.018000000000000,154.411764705882348,151.117647058823536
10,86,0.528349995690598,0.000000000000000,0.332580456763121,62.946995691499851,20150617.000000000000000,0.008100000000000,0.074700000000000,0.082800000000000,0.162900000000000,0.328500000000000,761.198324022346242,895.136871508379841
11,89,0.068928758774131,0.000000000000000,0.008998291400955,13.054480617870436,20150617.000000000000000,0.005400000000000,0.005400000000000,0.000000000000000,0.000000000000000,0.010800000000000,39.545454545454547,-3.545454545454545
12,90,0.068519459204046,0.000000000000000,0.007860469471012,11.471878212389045,20150617.000000000000000,0.000000000000000,0.009900000000000,0.000000000000000,0.000000000000000,0.009900000000000,419.000000000000000,455.294117647058840
13,91,0.236210660877696,0.000000000000000,0.072949278191411,30.883140112757253,20150617.000000000000000,0.016200000000000,0.039600000000000,0.017100000000000,0.002700000000000,0.075600000000000,355.733333333333292,380.053333333333285
14,92,0.110310177409342,0.000000000000000,0.016113073923365,14.607058299837064,20150617.000000000000000,0.012600000000000,0.011700000000000,0.000900000000000,0.000000000000000,0.025200000000000,218.625000000000000,217.750000000000000
15,101,0.303964389381948,0.000000000000000,0.295730128256666,97.291038589137003,20110526.000000000000000,0.048600000000000,0.064800000000000,0.140400000000000,0.055800000000000,0.309600000000000,456.993333333333283,694.429999999999950
16,102,0.106975921286053,0.000000000000000,0.106975979178495,99.999996043297770,20110526.000000000000000,0.054900000000000,0.043200000000000,0.007200000000000,0.000000000000000,0.105300000000000,84.837606837606842,165.914529914529879
17,103,0.085740232302507,0.000000000000000,0.040949706547519,47.760205633354133,20110526.000000000000000,0.021600000000000,0.020700000000000,0.009000000000000,0.000000000000000,0.051300000000000,242.533333333333331,388.866666666666617
18,104,0.066623274326465,0.000000000000000,0.047960960044968,71.988292122479393,20110526.000000000000000,0.036000000000000,0.012600000000000,0.003600000000000,0.000000000000000,0.052200000000000,32.730769230769234,99.288461538461519
19,111,0.065858275377405,0.000000000000000,0.065858282336534,100.000009654193363,20110526.000000000000000,0.004500000000000,0.008100000000000,0.032400000000000,0.018000000000000,0.063000000000000,515.223684210526358,831.855263157894797
20,112,0.108443276965514,0.000000000000000,0.108443276080099,99.999995016236483,20110526.000000000000000,0.096300000000000,0.010800000000000,0.002700000000000,0.000000000000000,0.109800000000000,26.347457627118644,98.177966101694921
21,117,0.236881916759940,0.000000000000000,0.015801760144565,6.670732843879710,20110526.000000000000000,0.021600000000000,0.004500000000000,0.007200000000000,0.000900000000000,0.034200000000000,518.857142857142890,754.523809523809518
22,118,0.092793214682083,0.000000000000000,0.010340124396489,11.143190332450075,20150617.000000000000000,0.000000000000000,0.001800000000000,0.013500000000000,0.007200000000000,0.022500000000000,481.000000000000000,569.600000000000023
23,123,0.255637733987465,0.000000000000000,0.080002477005859,31.295243753822071,20110526.000000000000000,0.048600000000000,0.041400000000000,0.016200000000000,0.002700000000000,0.108900000000000,299.505882352941171,486.517647058823457
