OID_,uRCA,uRCA_Area_km2,Fire_Event_ID,Fire_Event_Area_in_uRCA_km2,Fire_Event_Area_Percent_of_uRCA,Fire_Event_Ignition_Date,BS1_AreaKm2,BS2_AreaKm2,BS3_AreaKm2,BS4_AreaKm2,BS_sum_AreaKm2,DNBR_MEAN,RDNBR_MEAN
1,12,9.275128030664652,0.000000000000000,1.261704786256070,13.603107239103636,20110526.000000000000000,0.172800000000000,0.368100000000000,0.252900000000000,0.518400000000000,1.312200000000000,432.147703180212034,593.827561837455846
2,20,3.214535471738235,0.000000000000000,0.124313111288153,3.867217875876597,20110526.000000000000000,0.077400000000000,0.051300000000000,0.007200000000000,0.002700000000000,0.138600000000000,46.838461538461544,105.884615384615387
3,21,4.394942110053210,0.000000000000000,0.411502256455375,9.363090394710133,20110526.000000000000000,0.099900000000000,0.222300000000000,0.070200000000000,0.063900000000000,0.456300000000000,244.285398230088475,353.986725663716811
4,32,8.485037186433116,0.000000000000000,4.585548879561280,54.042693464314119,20110526.000000000000000,0.685800000000000,1.223100000000000,1.274400000000000,1.582200000000000,4.765500100000000,381.636238170346928,531.701301261829599
5,33,2.777719858139061,0.000000000000000,0.276604591589426,9.957972820493623,20110526.000000000000000,0.077400000000000,0.071100000000000,0.062100000000000,0.101700000000000,0.312300000000000,426.655844155844022,567.353896103896091
6,42,9.167679935144724,0.000000000000000,5.294519790698049,57.752022446461105,20110526.000000000000000,0.836100000000000,1.791900000000000,1.144800000000000,1.550700000000000,5.323500200000000,338.017522340984783,475.082179779218507
7,43,3.760305587978777,0.000000000000000,0.156651596209163,4.165929278835288,20110526.000000000000000,0.110700000000000,0.039600000000000,0.010800000000000,0.020700000000000,0.181800000000000,198.350877192982495,291.040935672514593
8,51,7.334262404532494,0.000000000000000,0.177722260045265,2.423183863437024,20110526.000000000000000,0.029700000000000,0.031500000000000,0.019800000000000,0.112500000000000,0.193500000000000,497.647959183673493,696.739795918367349
9,52,3.592368334114048,0.000000000000000,1.830445376165200,50.953620086703253,20110526.000000000000000,0.193500000000000,0.319500000000000,0.488700000000000,0.912600000000000,1.914300000000000,490.818401937045962,688.513801452784378
10,54,9.022139535841310,0.000000000000000,0.728649020986873,8.076228925400441,20110526.000000000000000,0.105300000000000,0.113400000000000,0.167400000000000,0.299700000000000,0.685800000000000,424.577086280056506,621.086280056577039
11,55,8.541635100149167,0.000000000000000,1.117123814068310,13.078556535446172,20110526.000000000000000,0.123300000000000,0.239400000000000,0.263700000000000,0.541800000000000,1.168200000000000,441.765188834154344,646.123152709359601
12,68,5.383341725109855,0.000000000000000,1.202614887680860,22.339563673329806,20110526.000000000000000,0.306900000000000,0.379800000000000,0.406800000000000,0.191700000000000,1.285200000000000,252.371601208459197,373.570241691842853
13,69,6.914064206957351,0.000000000000000,4.685201949707150,67.763354393916558,20110526.000000000000000,0.745200000000000,1.293300000000000,1.224900000000000,0.812700000000000,4.076099900000000,295.203881278538802,418.176255707762550
14,71,4.001850768768328,0.000000000000000,0.126544498196881,3.162158729098346,20150617.000000000000000,0.000900000000000,0.045000000000000,0.027900000000000,0.069300000000000,0.143100000000000,681.201388888888800,793.618055555555543
15,77,2.824859481642065,0.000000000000000,0.888664122303329,31.458721387605106,20150617.000000000000000,0.003600000000000,0.090900000000000,0.180000000000000,0.669600000000000,0.944100000000000,724.966326530612150,843.278571428571354
16,81,5.724997613663874,0.000000000000000,1.087606694397600,18.997506760370907,20150617.000000000000000,0.083700000000000,0.184500000000000,0.299700000000000,0.562500000000000,1.130399900000000,587.386934673366795,673.161641541038534
17,82,0.550318792909819,0.000000000000000,0.017174641371410,3.120788529268498,20150617.000000000000000,0.005400000000000,0.012600000000000,0.004500000000000,0.000000000000000,0.022500000000000,210.900000000000006,214.099999999999994
18,84,1.112577724465543,0.000000000000000,0.295931354876852,26.598711151584677,20150617.000000000000000,0.000900000000000,0.031500000000000,0.037800000000000,0.241200000000000,0.311400000000000,913.231707317073187,1051.887195121951208
19,85,0.561611515754504,0.000000000000000,0.148423315844637,26.428106808785845,20150617.000000000000000,0.035100000000000,0.075600000000000,0.037800000000000,0.018000000000000,0.166500000000000,288.798850574712560,305.752873563218429
20,86,13.692123108979400,0.000000000000000,10.185812624198999,74.391771000074002,20150617.000000000000000,0.772200000000000,1.833300000000000,2.126700000000000,5.583600000000000,10.315799699999999,632.130473163841771,734.687500000000000
21,89,0.133738008138875,0.000000000000000,0.071587807802010,53.528315610846683,20150617.000000000000000,0.016200000000000,0.050400000000000,0.008100000000000,0.000000000000000,0.074700000000000,194.589743589743563,203.307692307692292
22,90,3.140431596583355,0.000000000000000,1.979770337526387,63.041386907360796,20150617.000000000000000,0.019800000000000,0.323100000000000,0.551700000000000,1.124100000000000,2.018699900000000,667.398238293926624,788.057950857672608
23,91,6.107419297993421,0.000000000000000,0.865444252385403,14.170375763862882,20150617.000000000000000,0.071100000000000,0.118800000000000,0.152100000000000,0.572400000000000,0.914400000000000,750.706004140786717,864.353002070393245
24,92,0.758165540073252,0.000000000000000,0.215937453054188,28.481575064292013,20150617.000000000000000,0.030600000000000,0.052200000000000,0.036900000000000,0.122400000000000,0.242100000000000,681.341463414634063,768.910569105691025
25,94,14.904047609962195,0.000000000000000,1.308079954780180,8.776673168155947,20150617.000000000000000,0.014400000000000,0.128700000000000,0.101700000000000,1.125000000000000,1.369800000000000,901.447026657552897,1089.300068352700009
