"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","burned_numerical","Time_Since_Burn_min","Z_mean"
"108",3815,1,1,4388.581,1,1,1,0,NA,286.13
"109",3818,2,2,897.658,2,2,2,0,NA,234.194
"110",3839,4,4,3430.562,4,4,4,0,NA,299.854
"111",3841,2,2,1482.035,2,2,2,0,NA,299.495
"112",3857,2,2,1673.822,2,2,2,1,-4,325.164
"113",3871,2,2,1093.37,2,2,2,1,-4,334.968
"114",3921,3,3,328.862,3,3,3,0,NA,448.537
"115",3932,1,1,219.78,1,1,1,0,NA,153.301
"116",3936,1,1,1419.37,1,1,1,0,NA,451.257
"117",3969,1,1,368.55,1,1,1,1,-4,344.16
"118",3992,11,11,765.061,11,11,11,1,-4,390.536
"119",4007,1,1,391.765,1,1,1,1,59,400.017
"120",4033,1,1,1777.715,1,1,1,0,NA,232.47
"121",4081,2,2,343.947,2,2,2,0,NA,388.714
"122",4089,2,2,955.086,2,2,2,0,NA,475.939
"123",4151,2,2,2558.441,2,2,2,0,NA,172.348
"124",4241,1,1,546.098,1,1,1,1,13,276.897
"125",4243,1,1,5630.842,1,1,1,1,59,397.74
"126",4270,1,1,266.381,1,1,1,1,59,404.568
"127",4325,3,3,4274.026,3,3,3,1,59,412.322
"128",4339,1,1,3369.369,1,1,1,0,NA,449.799
"129",4355,2,2,852.981,2,2,2,0,NA,260.036
"130",4356,4,4,526.87,4,4,4,1,46,283.289
"131",4369,1,1,703.458,1,1,1,1,59,412.995
"132",4370,2,2,5086.954,2,2,2,1,59,412.944
"133",4389,6,6,5735.209,6,6,6,1,59,436.895
"134",4390,2,2,2153.232,2,2,2,1,59,428.003
"135",4404,1,1,8847.376,1,1,1,1,59,437.852
"136",4425,5,5,1498.247,5,5,5,1,13,303.145
"137",4426,2,2,576.307,2,2,2,1,13,298.605
"138",4428,1,1,486.577,1,1,1,1,59,436.91
"139",4438,4,4,296.104,4,4,4,0,NA,210.421
"140",4467,2,2,1673.187,2,2,2,1,13,225.366
"141",4468,2,2,244.09,2,2,2,1,13,297.889
"142",4493,1,1,371.664,1,1,1,0,NA,262.71
"143",4532,8,8,371.565,8,8,8,0,NA,231.929
"144",4554,1,1,393.715,1,1,1,1,13,348.804
"145",4560,1,1,1162.708,1,1,1,1,13,390.504
"146",4564,1,1,1584.571,1,1,1,1,59,518.039
"147",4605,2,2,2744.755,2,2,2,1,59,538.002
"148",4627,1,1,2124.095,1,1,1,1,59,559.044
"149",4637,1,1,2717.519,1,1,1,0,NA,576.666
"150",4638,3,3,893.263,3,3,3,0,NA,574.847
"151",4660,1,1,1043.093,1,1,1,0,NA,544.873
"152",4674,1,1,299.572,1,1,1,0,NA,274.625
"153",4678,8,8,751.311,8,8,8,1,13,233.246
"154",4687,1,1,432.305,1,1,1,0,NA,230.342
"155",4691,1,1,245.213,1,1,1,1,13,286.664
"156",4692,1,1,1245.68,1,1,1,1,13,241.78
"157",4693,1,1,895.675,1,1,1,1,13,296.373
"158",4696,1,1,5790.842,1,1,1,0,NA,609.992
"159",4699,1,1,1617.705,1,1,1,0,NA,639.991
"160",4723,1,1,1543.401,1,1,1,1,13,423.05
"161",4735,3,3,1489.79,3,3,3,1,13,399.667
"162",4748,3,3,162.524,3,3,3,1,13,384.303
"163",4754,1,1,817.585,1,1,1,1,13,395.514
"164",4770,1,1,6264.654,1,1,1,1,13,442.151
"165",4834,1,1,1007.676,1,1,1,1,13,480.61
"166",4851,3,3,1223.278,3,3,3,1,13,266.512
"167",4874,4,4,3860.792,4,4,4,0,NA,277.017
"168",4877,3,3,381.828,3,3,3,0,NA,272.227
"169",4881,1,1,7776.928,1,1,1,1,13,264.935
"170",4882,1,1,2512.527,1,1,1,0,NA,264.822
"171",4887,1,1,1328.365,1,1,1,1,13,507.055
"172",4906,2,2,785.248,2,2,2,1,13,580.606
"173",4908,1,1,3323.039,1,1,1,1,13,369.843
"174",4909,4,4,10236.354,4,4,4,0,NA,289.315
"175",4932,2,2,2943.13,2,2,2,0,NA,300.074
"176",4946,1,1,1070.054,1,1,1,1,13,422.79
"177",4949,4,4,993.967,4,4,4,1,13,324.164
"178",4971,1,1,5373.447,1,1,1,0,NA,546.495
"179",4999,3,3,1997.405,3,3,3,0,NA,324.289
"180",5000,3,3,3399.14,3,3,3,0,NA,320.459
"181",5054,3,3,1432.33,3,3,3,1,13,350.817
"182",5071,2,2,2671.886,2,2,2,1,13,372.441
"183",5076,1,1,839.788,1,1,1,1,13,393.779
"184",5095,1,1,1162.509,1,1,1,1,13,409.76
"185",5100,2,2,62.836,2,2,2,1,13,538.308
"186",5127,6,6,1236.473,6,6,6,1,13,472.442
