"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","Burned_numerical","Time_Since_Burn_min","Z_mean","alnus_PCT_MEAN","betshr_PCT_MEAN","bettre_PCT_MEAN","dectre_PCT_MEAN","dryas_PCT_MEAN","empnig_PCT_MEAN","erivag_PCT_MEAN","picgla_PCT_MEAN","picmar_PCT_MEAN","rhoshr_PCT_MEAN","salshr_PCT_MEAN","sphagn_PCT_MEAN","vaculi_PCT_MEAN","vacvit_PCT_MEAN","uRCA_Area_km2","Fire_Event_ID","Fire_Event_Area_in_uRCA_km2","Fire_Event_Area_Percent_of_uRCA","Fire_Event_Ignition_Date","BS1_AreaKm2","BS2_AreaKm2","BS3_AreaKm2","BS4_AreaKm2","BS_sum_AreaKm2","DNBR_MEAN","RDNBR_MEAN","uRCA_int","SOLAR_COUNT","SOLAR_MIN","SOLAR_MAX","SOLAR_RANGE","SOLAR_MEAN","SOLAR_STD","SOLAR_SUM","tmLichenLight_2015_MEAN","BroadleafTree_2015_MEAN","ConiferTree_2015_MEAN","DeciduousShrub_2015_MEAN","EvergreenShrub_2015_MEAN","Forb_2015_MEAN","ALD_1950_MEAN","ALD_1951_MEAN","ALD_1952_MEAN","ALD_1953_MEAN","ALD_1954_MEAN","ALD_1955_MEAN","ALD_1956_MEAN","ALD_1957_MEAN","ALD_1958_MEAN","ALD_1959_MEAN","ALD_1960_MEAN","ALD_1961_MEAN","ALD_1962_MEAN","ALD_1963_MEAN","ALD_1964_MEAN","ALD_1965_MEAN","ALD_1966_MEAN","ALD_1967_MEAN","ALD_1968_MEAN","ALD_1969_MEAN","ALD_1970_MEAN","ALD_1971_MEAN","ALD_1972_MEAN","ALD_1973_MEAN","ALD_1974_MEAN","ALD_1975_MEAN","ALD_1976_MEAN","ALD_1977_MEAN","ALD_1978_MEAN","ALD_1979_MEAN","ALD_1980_MEAN","ALD_1981_MEAN","ALD_1982_MEAN","ALD_1983_MEAN","ALD_1984_MEAN","ALD_1985_MEAN","ALD_1986_MEAN","ALD_1987_MEAN","ALD_1988_MEAN","ALD_1989_MEAN","ALD_1990_MEAN","ALD_1991_MEAN","ALD_1992_MEAN","ALD_1993_MEAN","ALD_1994_MEAN","ALD_1995_MEAN","ALD_1996_MEAN","ALD_1997_MEAN","ALD_1998_MEAN","ALD_1999_MEAN","ALD_2000_MEAN","ALD_2001_MEAN","ALD_2002_MEAN","ALD_2003_MEAN","ALD_2004_MEAN","ALD_2005_MEAN","ALD_2006_MEAN","ALD_2007_MEAN","ALD_2008_MEAN","ALD_2009_MEAN","ALD_2010_MEAN","ALD_2011_MEAN","ALD_2012_MEAN","ALD_2013_MEAN","ALD_2014_MEAN","ALD_2015_MEAN","X","LENGTH_M_sum","AREA_SQKM_mean","OUT_DIST_min","GRADIENT_mean","MNANPRC_M_mean","MEANANNCMS_mean","WIDTH_M_mean","DEPTH_M_mean","MAX_GRAD_D_max","LAKE_max","STRM_ORDER_max","AZIMTH_DEG_mean","SINUOSITY_mean","VAL_WIDTH_mean","FP_WIDTH_mean","DROPMAX_max","Fish_min","Basin_ID_min","VWI_Floor_mean","ValCnstrnt_mean","FlowVel_mean","BFQ_mean","StrmPow_mean","BeavHab_min","FISH_RESID_min","GEP_Cum_mean","GEP_mean","IP_CHIN2_mean","ELEV_M_mean","Shape_Area.x","Area_km2_RCA","Shape_Area.y","Area_km2_VB","Graminoid_2015_MEAN"
"1",157,1,1,1004.962,1,1,1,1,6,401.042,3.05417185554172,14.2045454545455,1.70205479452055,4.35647571606476,2.06755915317559,3.62951432129514,17.0189912826899,1.0140099626401,5.58063511830635,11.5902864259029,21.030199252802,9.39694894146949,10.3287671232877,4.83219178082192,0.274707849660994,0,0.274707863230522,99.9999995974912,20110526,0.1026,0.1287,0.0423,0.0054,0.279,179.32,310.62,157,302,479805.1875,680863.4375,201058,596678.643004967,18113.3204318763,180196950.1875,1.87012987013,3.53571428571,15.4253246753,24.5324675325,7.99350649351,0.948051948052,0.588361738401,0.5707780568,0.606005679481,0.937186834793,0.803738473521,0.71680848554,0.669249299336,0.599383837981,0.593248572303,0.676752920741,0.83684365747,0.79335979571,0.79335979571,0.624736250344,0.589425686812,0.639711947114,0.673157327812,0.809670111273,0.748644107409,0.630143672354,0.70114887132,0.794016157204,0.817259216946,0.911638095165,0.858969018116,1.00616605217,0.935965184478,1.0477883968,0.934237057594,1.0216897973,0.984754900216,0.987721366452,0.987721366452,0.895949180567,0.957199750385,0.769149610598,0.773475016491,0.846499868223,1.03731645359,1.03741042698,1.04349117031,0.724835659727,0.771631211867,0.864264150687,0.84420376481,0.85769996419,0.890771085148,1.00955231261,1.00828522943,1.02433038389,0.745487419318,0.784698349695,0.826856123656,0.826856123656,0.762498301368,0.978947501558,0.943545192124,1.02518323468,0.812937045882,0.68546788031,0.665972788229,0.766030642479,0.787569163567,0.738597119224,1.01084210397,0.737594821183,161,2550.929,48.403,111.019,0.007,0.368,0.214,1.803,0.089,0.021,0,4,176.885,1.095,20.972,29.032,0,1,5031606,11.629,16.134,0.524,0.084,7.357,1,1,0.269,0.171,0.437,387.916,2743284.34058573,2.74328434058573,321078.352009858,0.321078352009858,7.22727272727
"2",256,1,1,7342.114,1,1,1,1,6,331.7,2.79972862957938,11.372591587517,2.34464043419267,3.43717774762551,0.615739484396201,2.55440976933514,16.3207598371777,3.30284938941655,5.9606512890095,12.7267299864315,16.0100407055631,13.3400271370421,8.14735413839891,4.72618724559023,0.571594405438398,0,0.571594394025157,100.000000892095,20110526,0.2718,0.225,0.0279,0,0.5247,117.606164383562,171.647260273973,256,631,556206.375,618813.8125,62607,592912.630447702,8534.47431114426,374127869.8125,2.35601265823,5.80696202532,11.9113924051,20.3591772152,11.3227848101,1.3417721519,0.836614616341,0.908598950334,1.04840198964,1.17952659877,1.10333618572,0.964973849441,0.925921770225,0.826491624601,0.839345032396,1.06458960879,1.0874400425,1.09036177911,1.09036177911,0.871083703421,0.836376390215,0.920871824489,0.92996947357,1.13298283415,0.966780437546,0.94626459749,1.08745023229,1.12922522051,1.02280506347,1.2236137616,1.18629429283,1.3367925098,1.24291045375,1.295920507,1.28434084469,1.33000109459,1.33000109459,1.22876709609,1.22876709609,1.20894751465,1.16546143231,1.0387502671,1.04144824533,1.07116107899,1.30845893292,1.31009729914,1.36196537423,0.944228625395,1.1349471117,1.15911396323,1.12759688564,1.22984867755,1.17720217435,1.29489217939,1.32705171192,1.23406374589,1.14344157448,1.140384784,1.03938289261,1.02621702595,1.09894736048,1.34416427162,1.19959567682,1.36824575257,1.12702445446,1.10133975254,1.09834801162,1.15594626502,1.11029937579,1.13391415157,1.38297151724,1.08004487565,263,847.548,2.159,84.331,0.003,0.315,0.006,0.312,0.033,0.012,1,1,276.49,1.071,8.825,43.503,0,1,5031608,28.326,140.279,0.161,0.002,0.09,1,1,0.166,0.035,0.116,332.63,2387179.33645795,2.38717933645795,367851.204804093,0.367851204804093,15.2721518987
"3",296,1,1,1538.144,1,1,1,0,NA,392.606,7.77701934015927,12.1927189988623,6.00841865756542,6.9707622298066,0.444823663253697,5.92650739476678,6.65119453924915,7.85301478953356,14.6932878270762,12.4182025028441,14.9891922639363,6.413196814562,10.3612059158134,5.86382252559727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,1126,423582.78125,679926.1875,256343,599355.176065719,26410.1121785298,674873928.25,0.908602150538,9.21505376344,22.7482078853,23.3154121864,7.18369175627,1.3646953405,0.685771158456,0.714531240733,0.833803116228,0.99070916483,0.905914186488,0.845885700065,0.79801101239,0.724045498374,0.695041329028,0.864887891072,0.879006662389,0.871450130559,0.869064408821,0.726211476595,0.700946170921,0.764550322568,0.761585514629,0.95930344705,0.802896806356,0.76337659189,0.888932737149,0.92558534619,0.85657477944,0.981475306868,0.925636656632,1.06936967852,0.973320178198,1.05257059499,1.03599762439,1.10161463537,1.10161463537,1.02960810588,1.02960810588,0.941550556443,0.961376031601,0.851842027444,0.852200326317,0.896888873921,1.07702559201,1.08619319089,1.13935170558,0.84951209735,0.890099566281,0.931498336915,0.922956806176,0.956137099948,0.949587787596,1.06128361629,1.06559099329,1.0430934873,0.840751961431,0.873753239916,0.844105817798,0.828156677502,0.826397604174,1.08971961039,1.0111859293,1.07920615643,0.918495407846,0.838785569752,0.90195442265,0.947783027141,0.899854489321,0.870693923719,1.11371138858,0.839329147831,304,6063.046,42.708,70.542,0.013,0.391,0.203,1.755,0.088,0.03,0,3,240.585,1.053,78.66,46.155,0,1,5031607,44.503,26.122,0.69,0.106,14.93,1,1,0.309,0.236,0.406,384.075,8393262.4307532,8.3932624307532,878788.686388856,0.878788686388856,5.55017921147
"4",299,1,1,1312.918,1,1,1,0,NA,388.48,7.64080846968239,8.77728585178056,3.99865255052935,4.39615014436959,3.10490856592878,3.07314725697786,4.97285851780558,20.9511068334937,11.7380173243503,6.79461020211742,16.5027911453321,6.27641963426372,6.05948026948989,4.82560153994225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,584,587433.75,625378.625,37945,604025.622859589,5149.78239132768,352750963.75,1.91638225256,5.53754266212,33.5887372014,11.0750853242,3.76279863481,1.97610921502,0.786578330556,0.833200209563,0.957233411338,1.10327500403,1.08751466352,0.92249912024,0.840021553408,0.756696105629,0.818217431285,1.0851746202,1.08762547611,0.935425547153,0.934672140496,0.757693534344,0.74954575331,0.83292106982,0.833254398801,1.05506708572,0.938690189909,0.880219935672,0.993310963998,1.11559459465,0.943674837013,1.15739859726,1.09499282981,1.30277467529,1.12963501377,1.28491566264,1.14447195291,1.36118003439,1.35711974942,1.32192542676,1.32192542676,1.29411907399,1.2027396119,1.02843682873,1.02860720484,1.07162851982,1.24244438095,1.24269259141,1.32196065794,0.871805566138,1.08159894488,1.03651522514,1.00259588207,1.12363228132,1.06480089367,1.22070703063,1.25163938424,1.26335000842,0.963324600457,0.980178600315,1.00748581602,1.00748581602,0.999018222041,1.23679939461,1.17465643557,1.2711339331,1.08018901852,1.06412917226,1.00349762001,1.03500288533,0.978741052121,0.98657213066,1.3015622582,0.913412465011,307,1665.452,516.606,117.881,0.001,0.423,3.214,6.941,0.192,0.026,0,5,228.235,1.283,53.582,129.064,0,1,5031603,7.719,18.593,0.366,0.487,6.145,1,1,0.3,0.071,0.885,387.539,526496.872652138,0.526496872652138,519053.629608211,0.519053629608211,2.94539249147
"5",321,1,1,130.928,1,1,1,1,48,411.874,9.11730834368296,4.7345602348425,6.12238907079146,6.8677881901321,2.5649768544654,1.17466410748561,0.678785141695834,25.7705769447894,8.72970531782771,3.74427006887208,16.4695720898724,1.00338715140567,3.73422151970193,3.47442700688721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1114,469258.25,680020.875,210763,604978.020506059,18291.7150831006,673945514.84375,1.30625,9.59285714286,35.9839285714,13.925,2.14285714286,1.75089285714,0.648293409087,0.625841292159,0.752635824631,0.911166880418,0.781927846807,0.773998592531,0.703681603215,0.635681034802,0.657896579087,0.82588087971,0.856300134833,0.839701508528,0.763200212754,0.632193682011,0.621717725571,0.683006473424,0.68468292928,0.843907678361,0.756986417744,0.734316293383,0.810991467133,0.915601020439,0.917131638942,0.939718985299,0.92236679075,1.08082677468,0.890389470126,1.11908670425,0.901603281831,1.01982455969,1.01334772093,1.02826235976,1.02826235976,0.970816999919,0.915797586046,0.768043086875,0.768814053985,0.798765260969,0.938590689072,0.944229072021,1.04263408408,1.00246463727,0.845921792291,0.881728386654,0.846803335332,0.932435047524,0.85960500756,1.01688417792,1.03472838327,1.03629496439,0.764606686856,0.765316156126,0.788464488761,0.76383699378,0.793318448247,1.02192367674,0.929641247833,0.984033888394,0.842460617294,0.732321656443,0.856604781102,0.85675046322,0.835006537262,0.813903122364,1.09848681246,0.805147465603,329,3594.985,304.508,121.955,0.005,0.427,1.851,5.275,0.164,0.03,0,4,246.441,1.148,53.911,58.539,0,1,5031603,10.216,11.098,0.606,0.524,41.432,1,1,0.305,0.151,0.866,407.901,2916820.04306905,2.91682004306905,886555.80842492,0.88655580842492,0.959821428571
"6",324,5,5,918.849,5,5,5,1,7,0,3.56234844378513,16.3480729181525,2.23809659658232,3.01988417539155,1.47422474538556,3.30819045445468,24.0208256069381,2.80267024220466,6.29483924343138,13.8633212563832,17.3222833994237,11.1629247140045,11.4882891621259,5.756397455282,0.916033692430536,0,0.774165575130619,84.5128000347135,20100526,0.4149,0.2448,0.072,0,0.7317,119.611177170036,192.020214030916,324,1018,582085.1875,609580.375,27495,596608.554580059,3849.88729498175,607347508.5625,0.00490677134446,6.74582924436,12.7939156035,20.9774288518,4.16683022571,2.53974484789,0.942187121617,1.04935963754,1.27226686877,1.33607725262,1.21495679613,1.20354316725,1.16266858759,0.905988354896,1.0377509994,1.23841423545,1.34308483059,1.23750417779,1.17088601842,0.962676116344,0.915479664778,1.02382338269,1.16678641157,1.31943866819,1.11479050993,1.11993726364,1.24047872869,1.2975805644,1.21949629112,1.50941533446,1.2319137004,1.4654708844,1.43407778998,1.57556950809,1.31843460886,1.54412730519,1.54412730519,1.49610186804,1.43104710984,1.27208247979,1.46778525606,1.4030015341,1.40019878425,1.46020480743,1.65458691447,1.53105655955,1.70301318008,1.05625801094,1.27164412807,1.29527584858,1.28877747073,1.55353778089,1.27937763466,1.51283305898,1.59633300899,1.35163379364,1.22626985766,1.40997319363,1.23476933292,1.23476933292,1.37534902042,1.60857989562,1.35723178767,1.52856389829,1.39518622253,1.04792668264,1.32247077313,1.31409151802,1.27684437446,1.44246556991,1.54515429952,1.09271509224,332,3103.919,51.305,631.599,0,0.328,0.195,6.452,0.419,0.009,0,3,256.682,1.147,238.23,98.222,0,1,3070107,36.92,15.278,0.562,1.521,3.851,1,1,0.063,0.025,0.412,290.837,3504001.38026009,3.50400138026009,3504001.38026188,3.50400138026188,16.6486751717
"7",328,2,2,1722.997,2,2,2,1,48,397.814,11.0787079162875,6.19517743403094,8.40991810737034,10.9458598726115,2.7729754322111,0.261146496815287,0.139217470427661,27.7807097361238,8.16742493175614,3.73475887170155,18.0605095541401,0.078252957233849,3.5277525022748,3.9080982711556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,248,586480.1875,625381.9375,38902,604605.078629032,7547.16297211968,149942059.5,0.0826446280992,13.9917355372,34.194214876,16.1198347107,0.0413223140496,3.01239669421,0.661528360824,0.652635040146,0.783291633167,0.949281218015,0.816020736376,0.796537715693,0.728374313259,0.648395177608,0.686726150521,0.856998273045,0.886010692321,0.830542431032,0.807349359821,0.656134050409,0.641986260082,0.711280152969,0.7188596544,0.89850296795,0.76180101643,0.74041067873,0.820446847104,0.933648671727,0.935449949834,0.963744689215,0.937242276384,1.10967156436,0.911720425103,1.15062299927,0.97797355426,1.0781319011,1.07395227066,1.09676035382,1.096760378,1.00146598895,0.952848720092,0.80969122633,0.810750004924,0.835490933716,1.00114454826,1.00514666838,1.0817875335,1.05149182174,0.872576520445,0.903995921374,0.872383048797,0.951524910722,0.90457181174,1.04477463538,1.07181316543,1.08021293925,0.784718640401,0.788024927278,0.8258579895,0.822602587233,0.817359013534,1.0548855481,0.954037889914,1.0278655596,0.889670613785,0.843895507945,0.865885460763,0.859199447467,0.850810681855,0.829849075985,1.13789344615,0.836201264686,336,856.482,308.847,121.152,0.003,0.425,1.873,5.306,0.165,0.03,0,4,256.606,1.261,70.586,82.816,0,1,5031603,13.304,15.607,0.449,0.392,33.542,1,1,0.304,0.075,0.852,397.306,222679.969161366,0.222679969161366,219239.242643466,0.219239242643466,0.619834710744
"8",330,2,2,337.508,2,2,2,1,48,437.762,8.89739196649534,3.1288787359604,3.70930896630497,5.60270321720921,2.21454407005521,0.242528079192842,0.040738625547306,23.4410812868837,10.1521035598706,6.0852845992766,19.7317723205787,0.018846373500857,3.81172663240053,4.11916999809633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,656,485899.03125,631274.0625,145375,602913.198075457,16646.380539969,395511057.9375,1.21162444113,5.4172876304,37.780923994,14.5961251863,1.83308494784,1.18330849478,0.611793447139,0.583904978254,0.68863576652,0.848221074652,0.759418021652,0.707288845226,0.651321513791,0.587116833132,0.60533017286,0.733649241644,0.798827172059,0.720653532235,0.718257013143,0.608838836755,0.590432043216,0.659827651139,0.664578242594,0.831512703505,0.708365080517,0.656615282125,0.7520463364,0.82663269527,0.827114904422,0.910060260166,0.895718291364,1.03935985838,0.902415645451,1.07954576539,0.919699677573,0.986890201274,0.980515269296,0.973738437581,0.973738437581,0.923610164098,0.86807798747,0.730310874061,0.730928694178,0.793781081045,0.906842940066,0.952153248794,1.01422315334,0.693264230451,0.802064130415,0.832890713772,0.798287712055,0.850994314795,0.835019987367,0.990460019796,1.00088314726,1.00491984468,0.743272691478,0.74327269693,0.78104562144,0.769675346219,0.755269170486,0.978322387307,0.906766491277,0.988123711865,0.877724528211,0.72981848838,0.813341744311,0.826670621551,0.814265180876,0.77194392896,1.02558046668,0.756966015757,338,2788.208,3.542,128.712,0.006,0.35,0.012,0.433,0.04,0.032,0,2,245.533,1.053,11.275,22.464,2.266,1,5031603,25.876,52.547,0.257,0.004,0.435,1,1,0.236,0.135,0.164,441.119,3217898.26634982,3.21789826634982,524994.328395074,0.524994328395074,0.262295081967
"9",344,2,2,1111.26,2,2,2,0,NA,0,4.71989144908726,19.2959697945286,3.42542181468809,4.84017395115209,1.20017867075699,4.77433546277412,21.4203988066142,5.09783066731842,10.9214860013147,14.6062838168119,15.5019636927537,7.11588315606722,11.1983245402599,6.18401402396885,1.54408604409112,0,0.076466062076584,4.95218889330798,20100526,0.0567,0.027,0,0,0.0837,85.6777777777778,151.455555555556,344,1709,579642.625,610408.625,30766,596736.792056758,3755.37711711676,1019823177.625,0,7.1970845481,17.1002915452,20.6186588921,3.35510204082,2.34402332362,0.967201748297,1.0709366634,1.26649034204,1.34630555137,1.21785037054,1.15968353885,1.15717679402,0.88719403262,0.993224029296,1.21414468378,1.36796152532,1.26362932241,1.16135832273,0.993523497054,0.9378459119,1.05003640137,1.17868985245,1.3562855462,1.11865525618,1.12514438196,1.26534093345,1.31643993674,1.24510526165,1.45837268299,1.29996166763,1.52788306572,1.41605252056,1.59824671502,1.33020158142,1.57364390213,1.57364390213,1.47762950337,1.44987608637,1.27876156072,1.44985428931,1.3805585306,1.37842810835,1.41558962692,1.6453150968,1.53998564825,1.67282483273,1.1387538472,1.34035567918,1.34859706374,1.29723328344,1.56836774982,1.30027000982,1.50759263032,1.60145387974,1.38585007234,1.20748343699,1.3589769271,1.25151599736,1.25151599736,1.3387186292,1.60440266625,1.36652195904,1.54781612004,1.35878258257,1.07516746506,1.34545399415,1.34817653865,1.31188500459,1.46387946937,1.56294887812,1.1427948139,352,7543.021,22.067,634.708,0.001,0.322,0.078,4.229,0.33,0.019,0,2,239.059,1.2,138.566,79.049,0,1,3070107,32.869,18.873,0.482,0.668,10.311,1,1,0.039,0.023,0.303,293.123,5931568.62421411,5.93156862421411,5931568.6242149,5.9315686242149,13.5294460641
"10",345,1,1,5320.878,1,1,1,0,NA,0,4.87815803619423,19.3437854625814,3.81186167353521,5.83097413844592,1.43904915487069,4.83646897210775,22.4297318282267,4.39831571402974,8.13987935256525,14.7568536104641,17.0922176431942,7.55169324493818,10.6115391506898,6.01098966732366,0.525301847406135,0,0.00061145786206,0.116401247903399,20100526,0.0018,0,0,0,0.0018,16.3333333333333,53,345,584,592732.5625,603935.1875,11203,597818.202161815,1913.32591969269,349125830.0625,0,7.14482758621,7.06379310345,16.4051724138,2.05689655172,6.41379310345,0.962894291085,1.08318377157,1.28316576781,1.33555518297,1.2162951922,1.20392051772,1.18277806544,0.907092125318,1.04058188533,1.25921151544,1.35775944469,1.2470868674,1.17403382345,0.970941016988,0.918780093618,1.03608840426,1.17389396286,1.33217019549,1.11896502179,1.1257528806,1.24733809064,1.30833331332,1.22557094867,1.51133667619,1.24729732156,1.50557741816,1.43505521356,1.59445810341,1.32800233475,1.5632275376,1.5632275376,1.50141963172,1.44477983029,1.28612526644,1.49929855156,1.40610425442,1.40610426497,1.46265405089,1.66615676502,1.55355453197,1.70641231615,1.07202067773,1.2966167499,1.31083592138,1.29601403965,1.56205994153,1.29183496408,1.5222252536,1.61110438542,1.36160228038,1.22671033087,1.40986348304,1.23943787564,1.23943787564,1.38770240649,1.62519001373,1.36363498915,1.5440542393,1.41341745262,1.06653757437,1.35626089875,1.34157938786,1.29923711333,1.470670734,1.55287776507,1.11699169005,353,2493.148,20.998,634.703,0.001,0.338,0.075,4.137,0.32,0.009,0,3,254.197,1.052,202.182,172.017,0,1,3070107,48.785,41.503,0.551,0.727,15.798,1,1,0.092,0.015,0.302,292.78,1675017.95040057,1.67501795040057,1675017.95040026,1.67501795040026,21.8017241379
