"","uRCA","Dams_Per_Basin","Burned_n","Pond_Area_m2_mean","Main_n","Side_n","Off_n","Burned_numerical","Time_Since_Burn_min","Z_mean"
"295",4625,1,1,124.638,1,1,1,1,13,234.946
"296",4627,1,1,2124.095,1,1,1,1,59,559.044
"297",4637,2,2,1696.268,2,2,2,0,NA,575.403
"298",4638,3,3,893.263,3,3,3,0,NA,574.847
"299",4656,1,1,4135.589,1,1,1,1,13,349.907
"300",4657,1,1,5897.608,1,1,1,0,NA,572.941
"301",4660,2,2,672.447,2,2,2,1,13,542.338
"302",4668,3,3,2047.597,3,3,3,0,NA,595.312
"303",4669,2,2,140.106,2,2,2,1,13,674.504
"304",4672,1,1,398.046,1,1,1,1,42,320.622
"305",4674,1,1,299.572,1,1,1,0,NA,274.625
"306",4678,8,8,751.311,8,8,8,1,13,233.246
"307",4679,2,2,4650.925,2,2,2,0,NA,227.766
"308",4680,2,2,2203.513,2,2,2,0,NA,229.156
"309",4685,1,1,1255.875,1,1,1,1,13,376.229
"310",4687,2,2,1961.168,2,2,2,0,NA,229.998
"311",4688,1,1,1700.302,1,1,1,0,NA,232.817
"312",4691,3,3,180.202,3,3,3,1,13,267.217
"313",4692,3,3,786.648,3,3,3,1,13,254.223
"314",4693,5,5,975.793,5,5,5,1,13,295.545
"315",4695,1,1,4005.608,1,1,1,0,NA,609.206
"316",4696,2,2,3918.912,2,2,2,0,NA,609.999
"317",4699,1,1,1617.705,1,1,1,0,NA,639.991
"318",4700,1,1,328.7,1,1,1,0,NA,642.424
"319",4723,2,2,2738.891,2,2,2,1,13,423.05
"320",4725,3,3,354.737,3,3,3,0,NA,368.535
"321",4735,3,3,1489.79,3,3,3,1,13,399.667
"322",4737,1,1,732.368,1,1,1,0,NA,236.244
"323",4743,1,1,779.287,1,1,1,1,13,442.403
"324",4744,2,2,1671.412,2,2,2,1,13,423
"325",4748,3,3,162.524,3,3,3,1,13,384.303
"326",4754,2,2,3564.883,2,2,2,1,13,391.768
"327",4770,1,1,6264.654,1,1,1,1,13,442.151
"328",4789,1,1,539.793,1,1,1,1,13,568.065
"329",4790,1,1,357.613,1,1,1,1,13,628.443
"330",4795,1,1,375.282,1,1,1,0,NA,243.372
"331",4833,1,1,1084.092,1,1,1,1,13,504.669
"332",4834,4,4,1084.348,4,4,4,1,13,480.426
"333",4835,1,1,1208.566,1,1,1,1,27,417.357
"334",4851,3,3,1223.278,3,3,3,1,13,266.512
"335",4852,3,3,10243.58,3,3,3,0,NA,254.424
"336",4866,3,3,1302.775,3,3,3,0,NA,433.501
"337",4871,1,1,17.191,1,1,1,0,NA,378.411
"338",4874,4,4,3860.792,4,4,4,0,NA,277.017
"339",4877,3,3,381.828,3,3,3,0,NA,272.227
"340",4881,1,1,7776.928,1,1,1,1,13,264.935
"341",4882,1,1,2512.527,1,1,1,0,NA,264.822
"342",4884,1,1,775.229,1,1,1,1,13,488.961
"343",4887,2,2,780.724,2,2,2,1,13,512.669
"344",4903,1,1,4295.463,1,1,1,0,NA,275.049
"345",4906,2,2,785.248,2,2,2,1,13,580.606
"346",4908,2,2,1788.464,2,2,2,1,13,379.468
"347",4909,4,4,10236.354,4,4,4,0,NA,289.315
"348",4920,2,2,3492.573,2,2,2,1,13,537.198
"349",4921,1,1,466.759,1,1,1,0,NA,443.684
"350",4922,3,3,672.042,3,3,3,0,NA,457.162
"351",4932,3,3,2226.804,3,3,3,0,NA,299.946
"352",4945,1,1,159.566,1,1,1,1,13,399.572
"353",4946,1,1,1070.054,1,1,1,1,13,422.79
"354",4949,6,6,1445.731,6,6,6,1,13,325.81
"355",4953,2,2,820.184,2,2,2,0,NA,314.518
"356",4962,2,2,1291.452,2,2,2,0,NA,478.165
"357",4971,1,1,5373.447,1,1,1,0,NA,546.495
"358",4979,2,2,28.09,2,2,2,1,13,368.844
"359",4987,1,1,49.93,1,1,1,1,13,384.796
"360",4999,5,5,1523.543,5,5,5,0,NA,325.419
"361",5000,3,3,3399.14,3,3,3,0,NA,320.459
"362",5022,2,2,141.674,2,2,2,0,NA,522.434
"363",5054,3,3,1432.33,3,3,3,1,13,350.817
"364",5055,3,3,465.505,3,3,3,1,13,569.223
"365",5071,2,2,2671.886,2,2,2,1,13,372.441
"366",5076,1,1,839.788,1,1,1,1,13,393.779
"367",5095,2,2,946.459,2,2,2,1,13,410.684
"368",5098,1,1,3151.223,1,1,1,1,13,399.584
"369",5100,2,2,62.836,2,2,2,1,13,538.308
"370",5101,1,1,412.615,1,1,1,1,13,500.883
"371",5124,1,1,3422.218,1,1,1,1,13,428.175
"372",5127,8,8,1085.134,8,8,8,1,13,473.488
"373",5141,1,1,117.779,1,1,1,1,13,506.559
"374",5142,5,5,3266.599,5,5,5,1,13,521.027
"375",5143,1,1,1887.424,1,1,1,1,13,507.109
"376",5163,1,1,448.632,1,1,1,0,NA,674.283
"377",5174,5,5,645.302,5,5,5,0,NA,565.579
"378",5177,2,2,104.174,2,2,2,0,NA,694.319
"379",5180,6,6,1249.465,6,6,6,0,NA,590.281
"380",5187,1,1,1558.93,1,1,1,0,NA,596.211
"381",5195,1,1,453.783,1,1,1,0,NA,641.127
"382",NA,5,5,2158.647,5,5,5,1,34,814.131
